time,total_yggl,total_ygdn
2019-06-17 10:01:29,0.016,22738.875
2019-06-17 10:02:28,0.015,22738.875
2019-06-17 10:03:28,0.019,22738.875
2019-06-17 10:04:28,0.019,22738.875
2019-06-17 10:05:28,0.018,22738.875
2019-06-17 10:06:28,0.017,22738.875
2019-06-17 10:07:28,0.018,22738.875
2019-06-17 10:08:29,0.019,22738.875
2019-06-17 10:09:29,0.016,22738.875
2019-06-17 10:10:29,0.02,22738.875
2019-06-17 10:11:29,0.016,22738.875
2019-06-17 10:12:29,0.018,22738.875
2019-06-17 10:13:28,0.018,22738.875
2019-06-17 10:14:28,0.016,22738.875
2019-06-17 10:15:28,0.018,22738.875
2019-06-17 10:16:28,0.017,22738.875
2019-06-17 10:17:28,0.017,22738.875
2019-06-17 10:18:28,0.018,22738.875
2019-06-17 10:19:28,0.016,22738.875
2019-06-17 10:20:28,0.019,22738.875
2019-06-17 10:21:31,0.019,22738.875
2019-06-17 10:22:30,0.017,22738.875
2019-06-17 10:23:31,0.018,22738.875
2019-06-17 10:24:31,0.016,22738.875
2019-06-17 10:25:31,0.017,22738.875
2019-06-17 10:26:32,0.017,22738.875
2019-06-17 10:27:31,0.017,22738.875
2019-06-17 10:28:31,0.018,22738.875
2019-06-17 10:29:31,0.015,22738.875
2019-06-17 10:30:31,0.015,22738.875
2019-06-17 10:31:31,0.016,22738.875
2019-06-17 10:32:31,0.016,22738.875
2019-06-17 10:33:31,0.019,22738.875
2019-06-17 10:34:31,0.015,22738.875
2019-06-17 10:35:31,0.018,22738.875
2019-06-17 10:36:31,0.017,22738.875
2019-06-17 10:37:31,0.017,22738.875
2019-06-17 10:38:31,0.017,22738.875
2019-06-17 10:39:31,0.018,22738.875
2019-06-17 10:40:32,0.016,22738.875
2019-06-17 10:41:32,0.018,22738.875
2019-06-17 10:42:32,0.018,22738.875
2019-06-17 10:43:31,0.016,22738.875
2019-06-17 10:44:32,0.017,22738.875
2019-06-17 10:45:36,0.019,22738.875
2019-06-17 10:46:32,0.018,22738.875
2019-06-17 10:47:31,0.016,22738.875
2019-06-17 10:48:31,0.016,22738.875
2019-06-17 10:49:31,0.019,22738.875
2019-06-17 10:50:31,0.017,22738.875
2019-06-17 10:51:32,0.018,22738.875
2019-06-17 10:52:32,0.017,22738.875
2019-06-17 10:53:31,0.018,22738.875
2019-06-17 10:54:32,0.016,22738.875
2019-06-17 10:55:32,0.017,22738.875
2019-06-17 10:56:32,0.015,22738.875
2019-06-17 10:57:32,0.017,22738.875
2019-06-17 10:58:32,0.018,22738.875
2019-06-17 10:59:32,0.017,22738.875
2019-06-17 11:00:32,0.017,22738.875
2019-06-17 11:01:32,0.014,22738.875
2019-06-17 11:02:32,0.016,22738.875
2019-06-17 11:03:33,0.015,22738.912
2019-06-17 11:04:33,0.02,22738.912
2019-06-17 11:05:33,0.019,22738.912
2019-06-17 11:06:33,0.016,22738.912
2019-06-17 11:07:33,0.017,22738.912
2019-06-17 11:08:33,0.016,22738.912
2019-06-17 11:09:33,0.017,22738.912
2019-06-17 11:10:33,0.016,22738.912
2019-06-17 11:11:33,0.018,22738.912
2019-06-17 11:12:32,0.017,22738.912
2019-06-17 11:13:33,0.016,22738.912
2019-06-17 11:14:33,0.017,22738.912
2019-06-17 11:15:33,0.016,22738.912
2019-06-17 11:16:33,0.017,22738.912
2019-06-17 11:17:33,0.019,22738.912
2019-06-17 11:18:33,0.016,22738.912
2019-06-17 11:19:33,0.016,22738.912
2019-06-17 11:20:33,0.014,22738.912
2019-06-17 11:21:33,0.017,22738.912
2019-06-17 11:22:33,0.018,22738.912
2019-06-17 11:23:34,0.017,22738.912
2019-06-17 11:24:33,0.017,22738.912
2019-06-17 11:25:34,0.019,22738.912
2019-06-17 11:26:34,0.017,22738.912
2019-06-17 11:27:34,0.016,22738.912
2019-06-17 11:28:34,0.019,22738.912
2019-06-17 11:29:34,0.016,22738.912
2019-06-17 11:30:34,0.017,22738.912
2019-06-17 11:31:34,0.016,22738.912
2019-06-17 11:32:34,0.018,22738.912
2019-06-17 11:33:34,0.015,22738.912
2019-06-17 11:34:34,0.017,22738.912
2019-06-17 11:35:34,0.016,22738.912
2019-06-17 11:36:34,0.018,22738.912
2019-06-17 11:37:35,0.017,22738.912
2019-06-17 11:38:35,0.02,22738.912
2019-06-17 11:39:34,0.016,22738.912
2019-06-17 11:40:34,0.02,22738.912
2019-06-17 11:41:34,0.016,22738.912
2019-06-17 11:42:35,0.015,22738.912
2019-06-17 11:43:34,0.015,22738.912
2019-06-17 11:44:34,0.015,22738.912
2019-06-17 11:45:34,0.018,22738.912
2019-06-17 11:46:34,0.015,22738.912
2019-06-17 11:47:34,0.018,22738.912
2019-06-17 11:48:34,0.016,22738.912
2019-06-17 11:49:35,0.018,22738.912
2019-06-17 11:50:35,0.017,22738.912
2019-06-17 11:51:35,0.017,22738.912
2019-06-17 11:52:35,0.017,22738.912
2019-06-17 11:53:35,0.019,22738.912
2019-06-17 11:54:35,0.018,22738.912
2019-06-17 11:55:35,0.018,22738.912
2019-06-17 11:56:35,0.014,22738.912
2019-06-17 11:57:35,0.017,22738.912
2019-06-17 11:58:35,0.018,22738.912
2019-06-17 11:59:35,0.017,22738.912
2019-06-17 12:00:36,0.017,22738.912
2019-06-17 12:01:36,0.018,22738.912
2019-06-17 12:02:36,0.017,22738.912
2019-06-17 12:03:36,0.017,22738.912
2019-06-17 12:04:36,0.016,22738.912
2019-06-17 12:05:36,0.016,22738.912
2019-06-17 12:06:36,0.019,22738.912
2019-06-17 12:07:36,0.018,22738.912
2019-06-17 12:08:36,0.018,22738.912
2019-06-17 12:09:36,0.016,22738.912
2019-06-17 12:10:36,0.018,22738.912
2019-06-17 12:11:36,0.018,22738.912
2019-06-17 12:12:35,0.017,22738.912
2019-06-17 12:13:36,0.02,22738.912
2019-06-17 12:14:36,0.017,22738.912
2019-06-17 12:15:36,0.019,22738.912
2019-06-17 12:16:36,0.017,22738.912
2019-06-17 12:17:36,0.016,22738.95
2019-06-17 12:18:36,0.016,22738.95
2019-06-17 12:19:36,0.017,22738.95
2019-06-17 12:20:36,0.019,22738.95
2019-06-17 12:21:36,0.017,22738.95
2019-06-17 12:22:39,0.017,22738.95
2019-06-17 12:23:36,0.014,22738.95
2019-06-17 12:24:36,0.015,22738.95
2019-06-17 12:25:36,0.016,22738.95
2019-06-17 12:26:36,0.018,22738.95
2019-06-17 12:27:36,0.018,22738.95
2019-06-17 12:28:37,0.017,22738.95
2019-06-17 12:29:37,0.016,22738.95
2019-06-17 12:30:37,0.019,22738.95
2019-06-17 12:31:37,0.016,22738.95
2019-06-17 12:32:37,0.017,22738.95
2019-06-17 12:33:37,0.015,22738.95
2019-06-17 12:34:37,0.019,22738.95
2019-06-17 12:35:37,0.016,22738.95
2019-06-17 12:36:37,0.017,22738.95
2019-06-17 12:37:37,0.018,22738.95
2019-06-17 12:38:37,0.016,22738.95
2019-06-17 12:39:37,0.017,22738.95
2019-06-17 12:40:37,0.017,22738.95
2019-06-17 12:41:37,0.019,22738.95
2019-06-17 12:42:37,0.021,22738.95
2019-06-17 12:43:37,0.019,22738.95
2019-06-17 12:44:38,0.018,22738.95
2019-06-17 12:45:38,0.018,22738.95
2019-06-17 12:46:38,0.017,22738.95
2019-06-17 12:47:38,0.018,22738.95
2019-06-17 12:48:38,0.015,22738.95
2019-06-17 12:49:38,0.018,22738.95
2019-06-17 12:50:38,0.017,22738.95
2019-06-17 12:54:34,0.017,22738.95
2019-06-17 12:55:34,0.018,22738.95
2019-06-17 12:56:34,0.015,22738.95
2019-06-17 12:57:34,0.017,22738.95
2019-06-17 12:58:34,0.019,22738.95
2019-06-17 12:59:34,0.016,22738.95
2019-06-17 13:00:34,0.017,22738.95
2019-06-17 13:01:34,0.016,22738.95
2019-06-17 13:02:34,0.017,22738.95
2019-06-17 13:03:34,0.017,22738.95
2019-06-17 13:04:34,0.016,22738.95
2019-06-17 13:05:35,0.017,22738.95
2019-06-17 13:06:34,0.017,22738.95
2019-06-17 13:07:35,0.018,22738.95
2019-06-17 13:08:34,0.017,22738.95
2019-06-17 13:09:34,0.016,22738.95
2019-06-17 13:10:34,0.016,22738.95
2019-06-17 13:11:34,0.017,22738.95
2019-06-17 13:12:34,0.017,22738.95
2019-06-17 13:13:34,0.017,22738.95
2019-06-17 13:14:34,0.015,22738.95
2019-06-17 13:15:35,0.017,22738.95
2019-06-17 13:16:35,0.017,22738.95
2019-06-17 13:17:35,0.017,22738.95
2019-06-17 13:18:34,0.018,22738.95
2019-06-17 13:19:34,0.017,22738.95
2019-06-17 13:20:34,0.017,22738.95
2019-06-17 13:21:34,0.017,22738.95
2019-06-17 13:22:34,0.015,22738.95
2019-06-17 13:23:34,0.017,22738.95
2019-06-17 13:24:35,0.016,22738.95
2019-06-17 13:25:35,0.017,22738.95
2019-06-17 13:26:35,0.019,22738.95
2019-06-17 13:27:35,0.019,22738.95
2019-06-17 13:28:35,0.018,22738.95
2019-06-17 13:29:35,0.015,22738.95
2019-06-17 13:30:35,0.016,22738.987
2019-06-17 13:31:35,0.018,22738.987
2019-06-17 13:32:35,0.016,22738.987
2019-06-17 13:33:35,0.016,22738.987
2019-06-17 13:34:35,0.016,22738.987
2019-06-17 13:35:35,0.019,22738.987
2019-06-17 13:36:36,0.017,22738.987
2019-06-17 13:37:35,0.016,22738.987
2019-06-17 13:38:36,0.017,22738.987
2019-06-17 13:39:36,0.018,22738.987
2019-06-17 13:40:36,0.017,22738.987
2019-06-17 13:41:36,0.016,22738.987
2019-06-17 13:42:36,0.019,22738.987
2019-06-17 13:43:36,0.02,22738.987
2019-06-17 13:44:36,0.016,22738.987
2019-06-17 13:45:36,0.017,22738.987
2019-06-17 13:46:36,0.018,22738.987
2019-06-17 13:47:36,0.016,22738.987
2019-06-17 13:48:36,0.016,22738.987
2019-06-17 13:49:36,0.019,22738.987
2019-06-17 13:50:36,0.016,22738.987
2019-06-17 13:51:36,0.017,22738.987
2019-06-17 13:52:37,0.018,22738.987
2019-06-17 13:53:37,0.016,22738.987
2019-06-17 13:54:36,0.015,22738.987
2019-06-17 13:55:36,0.018,22738.987
2019-06-17 13:56:36,0.018,22738.987
2019-06-17 13:57:36,0.014,22738.987
2019-06-17 13:58:36,0.016,22738.987
2019-06-17 13:59:37,0.015,22738.987
2019-06-17 14:00:37,0.017,22738.987
2019-06-17 14:01:37,0.017,22738.987
2019-06-17 14:02:37,0.017,22738.987
2019-06-17 14:03:37,0.016,22738.987
2019-06-17 14:04:37,0.017,22738.987
2019-06-17 14:05:37,0.019,22738.987
2019-06-17 14:06:37,0.019,22738.987
2019-06-17 14:07:37,0.017,22738.987
2019-06-17 14:08:37,0.017,22738.987
2019-06-17 14:09:37,0.016,22738.987
2019-06-17 14:10:37,0.016,22738.987
2019-06-17 14:11:37,0.017,22738.987
2019-06-17 14:12:37,0.016,22738.987
2019-06-17 14:13:37,0.016,22738.987
2019-06-17 14:14:38,0.02,22738.987
2019-06-17 14:15:37,0.017,22738.987
2019-06-17 14:16:38,0.015,22738.987
2019-06-17 14:17:37,0.017,22738.987
2019-06-17 14:18:52,0.018,22738.987
2019-06-17 14:19:37,0.016,22738.987
2019-06-17 14:20:37,0.018,22738.987
2019-06-17 14:21:37,0.017,22738.987
2019-06-17 14:22:38,0.017,22738.987
2019-06-17 14:23:38,0.016,22738.987
2019-06-17 14:24:38,0.016,22738.987
2019-06-17 14:25:38,0.019,22738.987
2019-06-17 14:26:38,0.015,22738.987
2019-06-17 14:27:39,0.018,22738.987
2019-06-17 14:28:39,0.017,22738.987
2019-06-17 14:29:39,0.019,22738.987
2019-06-17 14:30:39,0.017,22738.987
2019-06-17 14:31:39,0.015,22738.987
2019-06-17 14:32:38,0.016,22738.987
2019-06-17 14:33:39,0.019,22738.987
2019-06-17 14:34:39,0.016,22738.987
2019-06-17 14:35:39,0.017,22738.987
2019-06-17 14:36:38,0.013,22738.987
2019-06-17 14:37:39,0.017,22738.987
2019-06-17 14:38:38,0.018,22738.987
2019-06-17 14:39:39,0.018,22738.987
2019-06-17 14:40:38,0.017,22738.987
2019-06-17 14:41:40,0.018,22738.987
2019-06-17 14:42:38,0.017,22738.987
2019-06-17 14:43:38,0.016,22738.987
2019-06-17 14:44:39,0.017,22739.025
2019-06-17 14:45:39,0.018,22739.025
2019-06-17 14:46:39,0.019,22739.025
2019-06-17 14:47:39,0.017,22739.025
2019-06-17 14:48:39,0.017,22739.025
2019-06-17 14:49:39,0.015,22739.025
2019-06-17 14:50:39,0.017,22739.025
2019-06-17 14:51:39,0.017,22739.025
2019-06-17 14:52:39,0.016,22739.025
2019-06-17 14:53:40,0.017,22739.025
2019-06-17 14:54:39,0.017,22739.025
2019-06-17 14:55:39,0.017,22739.025
2019-06-17 14:56:39,0.016,22739.025
2019-06-17 14:57:40,0.018,22739.025
2019-06-17 14:58:39,0.017,22739.025
2019-06-17 14:59:40,0.018,22739.025
2019-06-17 15:00:40,0.017,22739.025
2019-06-17 15:01:40,0.019,22739.025
2019-06-17 15:02:40,0.018,22739.025
2019-06-17 15:03:40,0.019,22739.025
2019-06-17 15:04:40,0.016,22739.025
2019-06-17 15:05:40,0.018,22739.025
2019-06-17 15:06:40,0.017,22739.025
2019-06-17 15:07:40,0.018,22739.025
2019-06-17 15:08:40,0.018,22739.025
2019-06-17 15:09:41,0.018,22739.025
2019-06-17 15:10:41,0.019,22739.025
2019-06-17 15:11:41,0.017,22739.025
2019-06-17 15:12:41,0.017,22739.025
2019-06-17 15:13:41,0.017,22739.025
2019-06-17 15:14:42,0.019,22739.025
2019-06-17 15:15:40,0.016,22739.025
2019-06-17 15:16:41,0.017,22739.025
2019-06-17 15:17:40,0.018,22739.025
2019-06-17 15:18:41,0.019,22739.025
2019-06-17 15:19:41,0.017,22739.025
2019-06-17 15:20:41,0.018,22739.025
2019-06-17 15:21:41,0.016,22739.025
2019-06-17 15:22:41,0.018,22739.025
2019-06-17 15:23:41,0.017,22739.025
2019-06-17 15:24:41,0.016,22739.025
2019-06-17 15:25:43,0.018,22739.025
2019-06-17 15:26:43,0.015,22739.025
2019-06-17 15:27:43,0.017,22739.025
2019-06-17 15:28:43,0.017,22739.025
2019-06-17 15:29:43,0.018,22739.025
2019-06-17 15:30:43,0.016,22739.025
2019-06-17 15:31:43,0.018,22739.025
2019-06-17 15:32:43,0.018,22739.025
2019-06-17 15:33:43,0.016,22739.025
2019-06-17 15:34:43,0.015,22739.025
2019-06-17 15:35:44,0.019,22739.025
2019-06-17 15:36:44,0.016,22739.025
2019-06-17 15:37:43,0.016,22739.025
2019-06-17 15:38:43,0.017,22739.025
2019-06-17 15:39:43,0.017,22739.025
2019-06-17 15:40:43,0.018,22739.025
2019-06-17 15:41:43,0.016,22739.025
2019-06-17 15:42:43,0.017,22739.025
2019-06-17 15:43:43,0.017,22739.025
2019-06-17 15:44:43,0.016,22739.025
2019-06-17 15:45:43,0.016,22739.025
2019-06-17 15:46:43,0.016,22739.025
2019-06-17 15:47:43,0.017,22739.025
2019-06-17 15:48:43,0.017,22739.025
2019-06-17 15:49:43,0.018,22739.025
2019-06-17 15:50:43,0.015,22739.025
2019-06-17 15:51:43,0.019,22739.025
2019-06-17 15:52:44,0.018,22739.025
2019-06-17 15:53:44,0.018,22739.025
2019-06-17 15:54:44,0.018,22739.062
2019-06-17 15:55:44,0.017,22739.062
2019-06-17 15:56:44,0.018,22739.062
2019-06-17 15:57:44,0.019,22739.062
2019-06-17 15:58:44,0.017,22739.062
2019-06-17 15:59:44,0.017,22739.062
2019-06-17 16:00:44,0.017,22739.062
2019-06-17 16:01:45,0.015,22739.062
2019-06-17 16:02:45,0.017,22739.062
2019-06-17 16:03:45,0.017,22739.062
2019-06-17 16:04:45,0.017,22739.062
2019-06-17 16:05:45,0.017,22739.062
2019-06-17 16:06:44,0.018,22739.062
2019-06-17 16:07:44,0.019,22739.062
2019-06-17 16:08:44,0.016,22739.062
2019-06-17 16:09:45,0.014,22739.062
2019-06-17 16:10:47,0.014,22739.062
2019-06-17 16:11:44,0.019,22739.062
2019-06-17 16:12:44,0.014,22739.062
2019-06-17 16:13:44,0.017,22739.062
2019-06-17 16:14:45,0.018,22739.062
2019-06-17 16:15:45,0.019,22739.062
2019-06-17 16:16:45,0.019,22739.062
2019-06-17 16:17:45,0.016,22739.062
2019-06-17 16:18:45,0.016,22739.062
2019-06-17 16:19:45,0.017,22739.062
2019-06-17 16:20:45,0.039,22739.062
2019-06-17 16:21:45,0.04,22739.062
2019-06-17 16:22:45,0.039,22739.062
2019-06-17 16:23:45,0.038,22739.062
2019-06-17 16:27:47,0.039,22739.062
2019-06-17 16:28:47,0.036,22739.062
2019-06-17 16:29:47,0.038,22739.062
2019-06-17 16:30:47,0.038,22739.062
2019-06-17 16:31:48,0.039,22739.062
2019-06-17 16:32:48,0.038,22739.062
2019-06-17 16:33:48,0.04,22739.062
2019-06-17 16:34:48,0.039,22739.062
2019-06-17 16:35:48,0.039,22739.062
2019-06-17 16:36:48,0.037,22739.062
2019-06-17 16:37:48,0.037,22739.062
2019-06-17 16:38:48,0.038,22739.062
2019-06-17 16:39:48,0.041,22739.062
2019-06-17 16:40:48,0.038,22739.062
2019-06-17 16:41:48,0.037,22739.062
2019-06-17 16:42:48,0.037,22739.062
2019-06-17 16:43:48,0.038,22739.062
2019-06-17 16:44:48,0.039,22739.1
2019-06-17 16:45:48,0.038,22739.1
2019-06-17 16:46:47,0.035,22739.1
2019-06-17 16:47:48,0.037,22739.1
2019-06-17 16:48:48,0.038,22739.1
2019-06-17 16:49:48,0.039,22739.1
2019-06-17 16:50:48,0.038,22739.1
2019-06-17 16:51:48,0.038,22739.1
2019-06-17 16:52:48,0.039,22739.1
2019-06-17 16:53:48,0.038,22739.1
2019-06-17 16:54:49,0.037,22739.1
2019-06-17 16:55:49,0.039,22739.1
2019-06-17 16:56:49,0.037,22739.1
2019-06-17 16:57:50,0.04,22739.1
2019-06-17 16:58:50,0.038,22739.1
2019-06-17 16:59:51,0.038,22739.1
2019-06-17 17:00:51,0.038,22739.1
2019-06-17 17:01:51,0.039,22739.1
2019-06-17 17:02:51,0.04,22739.1
2019-06-17 17:03:50,0.04,22739.1
2019-06-17 17:04:50,0.04,22739.1
2019-06-17 17:05:50,0.038,22739.1
2019-06-17 17:06:50,0.038,22739.1
2019-06-17 17:07:50,0.04,22739.1
2019-06-17 17:08:50,0.039,22739.1
2019-06-17 17:09:50,0.038,22739.1
2019-06-17 17:10:50,0.041,22739.1
2019-06-17 17:11:51,0.038,22739.1
2019-06-17 17:12:51,0.037,22739.1
2019-06-17 17:13:51,0.038,22739.1
2019-06-17 17:14:51,0.038,22739.1
2019-06-17 17:15:51,0.037,22739.1
2019-06-17 17:16:51,0.037,22739.1
2019-06-17 17:17:51,0.038,22739.1
2019-06-17 17:18:51,0.038,22739.1
2019-06-17 17:19:51,0.04,22739.1
2019-06-17 17:20:51,0.038,22739.1
2019-06-17 17:21:50,0.039,22739.1
2019-06-17 17:22:50,0.038,22739.1
2019-06-17 17:23:51,0.04,22739.137
2019-06-17 17:24:51,0.038,22739.137
2019-06-17 17:25:51,0.038,22739.137
2019-06-17 17:26:51,0.04,22739.137
2019-06-17 17:27:51,0.038,22739.137
2019-06-17 17:28:52,0.037,22739.137
2019-06-17 17:29:52,0.039,22739.137
2019-06-17 17:30:52,0.038,22739.137
2019-06-17 17:31:52,0.039,22739.137
2019-06-17 17:32:51,0.039,22739.137
2019-06-17 17:33:51,0.039,22739.137
2019-06-17 17:34:51,0.04,22739.137
2019-06-17 17:35:51,0.016,22739.137
2019-06-17 17:36:52,0.019,22739.137
2019-06-17 17:37:52,0.016,22739.137
2019-06-17 17:38:52,0.018,22739.137
2019-06-17 17:39:51,0.017,22739.137
2019-06-17 17:40:52,0.019,22739.137
2019-06-17 17:41:51,0.017,22739.137
2019-06-17 17:42:52,0.016,22739.137
2019-06-17 17:43:52,0.019,22739.137
2019-06-17 17:44:52,0.017,22739.137
2019-06-17 17:45:52,0.016,22739.137
2019-06-17 17:46:52,0.018,22739.137
2019-06-17 17:47:52,0.016,22739.137
2019-06-17 17:48:52,0.019,22739.137
2019-06-17 17:49:52,0.016,22739.137
2019-06-17 17:50:52,0.017,22739.137
2019-06-17 17:51:52,0.019,22739.137
2019-06-17 17:52:53,0.017,22739.137
2019-06-17 17:53:52,0.019,22739.137
2019-06-17 17:54:55,0.016,22739.137
2019-06-17 17:57:53,0.016,22739.137
2019-06-17 17:58:54,0.017,22739.137
2019-06-17 17:59:58,0.021,22739.137
2019-06-17 18:00:54,0.018,22739.137
2019-06-17 18:02:05,0.019,22739.137
2019-06-17 18:02:57,0.02,22739.137
2019-06-17 18:04:14,0.016,22739.137
2019-06-17 18:04:53,0.016,22739.137
2019-06-17 18:05:54,0.017,22739.137
2019-06-17 18:06:57,0.018,22739.137
2019-06-17 18:12:51,0.017,22739.137
2019-06-17 18:12:51,0.02,22739.137
2019-06-17 18:12:51,0.018,22739.137
2019-06-17 18:12:51,0.018,22739.137
2019-06-17 18:12:51,0.018,22739.137
2019-06-17 18:12:54,0.02,22739.137
2019-06-17 18:13:54,0.018,22739.137
2019-06-17 18:14:54,0.018,22739.137
2019-06-17 18:15:54,0.017,22739.137
2019-06-17 18:16:54,0.016,22739.137
2019-06-17 18:17:54,0.015,22739.137
2019-06-17 18:18:55,0.016,22739.137
2019-06-17 18:19:53,0.018,22739.137
2019-06-17 18:20:54,0.019,22739.175
2019-06-17 18:21:53,0.02,22739.175
2019-06-17 18:22:54,0.018,22739.175
2019-06-17 18:23:54,0.02,22739.175
2019-06-17 18:24:54,0.017,22739.175
2019-06-17 18:25:54,0.018,22739.175
2019-06-17 18:26:54,0.016,22739.175
2019-06-17 18:27:55,0.015,22739.175
2019-06-17 18:28:57,0.019,22739.175
2019-06-17 18:29:55,0.017,22739.175
2019-06-17 18:30:55,0.02,22739.175
2019-06-17 18:31:55,0.019,22739.175
2019-06-17 18:32:55,0.018,22739.175
2019-06-17 18:33:54,0.016,22739.175
2019-06-17 18:34:55,0.017,22739.175
2019-06-17 18:35:55,0.018,22739.175
2019-06-17 18:36:56,0.018,22739.175
2019-06-17 18:37:55,0.017,22739.175
2019-06-17 18:38:55,0.018,22739.175
2019-06-17 18:39:55,0.018,22739.175
2019-06-17 18:40:55,0.018,22739.175
2019-06-17 18:41:56,0.018,22739.175
2019-06-17 18:42:56,0.016,22739.175
2019-06-17 18:44:07,0.018,22739.175
2019-06-17 18:44:55,0.019,22739.175
2019-06-17 18:45:57,0.019,22739.175
2019-06-17 18:46:55,0.018,22739.175
2019-06-17 18:47:55,0.018,22739.175
2019-06-17 18:48:55,0.018,22739.175
2019-06-17 18:49:56,0.018,22739.175
2019-06-17 18:50:55,0.016,22739.175
2019-06-17 18:51:55,0.016,22739.175
2019-06-17 18:52:57,0.021,22739.175
2019-06-17 18:53:55,0.016,22739.175
2019-06-17 18:54:56,0.018,22739.175
2019-06-17 18:55:55,0.019,22739.175
2019-06-17 18:56:56,0.017,22739.175
2019-06-17 18:57:57,0.017,22739.175
2019-06-17 18:59:00,0.02,22739.175
2019-06-17 18:59:56,0.02,22739.175
2019-06-17 19:00:58,0.02,22739.175
2019-06-17 19:01:56,0.016,22739.175
2019-06-17 19:02:57,0.018,22739.175
2019-06-17 19:03:57,0.016,22739.175
2019-06-17 19:04:57,0.019,22739.175
2019-06-17 19:05:57,0.02,22739.175
2019-06-17 19:06:57,0.018,22739.175
2019-06-17 19:07:56,0.02,22739.175
2019-06-17 19:08:56,0.019,22739.175
2019-06-17 19:09:56,0.018,22739.175
2019-06-17 19:10:56,0.018,22739.175
2019-06-17 19:12:03,0.018,22739.175
2019-06-17 19:12:57,0.017,22739.175
2019-06-17 19:13:56,0.018,22739.175
2019-06-17 19:14:57,0.019,22739.175
2019-06-17 19:15:57,0.017,22739.175
2019-06-17 19:16:57,0.019,22739.175
2019-06-17 19:17:57,0.02,22739.175
2019-06-17 19:18:57,0.017,22739.175
2019-06-17 19:19:57,0.019,22739.175
2019-06-17 19:20:57,0.018,22739.175
2019-06-17 19:21:57,0.02,22739.212
2019-06-17 19:22:57,0.018,22739.212
2019-06-17 19:23:57,0.019,22739.212
2019-06-17 19:24:57,0.018,22739.212
2019-06-17 19:25:57,0.019,22739.212
2019-06-17 19:26:58,0.02,22739.212
2019-06-17 19:27:59,0.018,22739.212
2019-06-17 19:28:58,0.018,22739.212
2019-06-17 19:29:58,0.02,22739.212
2019-06-17 19:30:59,0.019,22739.212
2019-06-17 19:31:58,0.02,22739.212
2019-06-17 19:32:58,0.019,22739.212
2019-06-17 19:33:57,0.019,22739.212
2019-06-17 19:34:57,0.02,22739.212
2019-06-17 19:35:58,0.018,22739.212
2019-06-17 19:36:58,0.019,22739.212
2019-06-17 19:37:58,0.02,22739.212
2019-06-17 19:38:58,0.016,22739.212
2019-06-17 19:39:58,0.017,22739.212
2019-06-17 19:40:58,0.016,22739.212
2019-06-17 19:41:58,0.016,22739.212
2019-06-17 19:43:08,0.017,22739.212
2019-06-17 19:50:34,0.018,22739.212
2019-06-17 19:50:34,0.019,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:35,0.018,22739.212
2019-06-17 19:50:35,0.02,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:35,0.016,22739.212
2019-06-17 19:50:59,0.018,22739.212
2019-06-17 19:51:59,0.019,22739.212
2019-06-17 19:52:59,0.018,22739.212
2019-06-17 19:53:59,0.02,22739.212
2019-06-17 19:54:59,0.018,22739.212
2019-06-17 19:55:59,0.02,22739.212
2019-06-17 19:56:59,0.018,22739.212
2019-06-17 19:59:04,0.018,22739.212
2019-06-17 20:00:04,0.015,22739.212
2019-06-17 20:01:04,0.017,22739.212
